Comunidades y ciudades autónomas;País de nacimiento;Periodo;Total
03 Asturias, Principado de;España;2013;422
03 Asturias, Principado de;UE27_2020 sin España;2021;453
03 Asturias, Principado de;UE27_2020 sin España;2020;421
03 Asturias, Principado de;UE27_2020 sin España;2019;""
03 Asturias, Principado de;UE27_2020 sin España;2018;""
03 Asturias, Principado de;UE27_2020 sin España;2017;""
03 Asturias, Principado de;UE27_2020 sin España;2016;""
03 Asturias, Principado de;UE27_2020 sin España;2015;""
03 Asturias, Principado de;UE27_2020 sin España;2014;""
03 Asturias, Principado de;UE27_2020 sin España;2013;""
03 Asturias, Principado de;UE28 sin España;2021;""
03 Asturias, Principado de;UE28 sin España;2020;""
03 Asturias, Principado de;UE28 sin España;2019;770
03 Asturias, Principado de;UE28 sin España;2018;712
03 Asturias, Principado de;UE28 sin España;2017;787
03 Asturias, Principado de;UE28 sin España;2016;824
03 Asturias, Principado de;UE28 sin España;2015;888
03 Asturias, Principado de;UE28 sin España;2014;836
03 Asturias, Principado de;UE28 sin España;2013;737
03 Asturias, Principado de;Europa menos UE27_2020;2021;205
03 Asturias, Principado de;Europa menos UE27_2020;2020;241
03 Asturias, Principado de;Europa menos UE27_2020;2019;""
03 Asturias, Principado de;Europa menos UE27_2020;2018;""
03 Asturias, Principado de;Europa menos UE27_2020;2017;""
03 Asturias, Principado de;Europa menos UE27_2020;2016;""
03 Asturias, Principado de;Europa menos UE27_2020;2015;""
03 Asturias, Principado de;Europa menos UE27_2020;2014;""
03 Asturias, Principado de;Europa menos UE27_2020;2013;""
03 Asturias, Principado de;Europa menos UE28;2021;""
03 Asturias, Principado de;Europa menos UE28;2020;""
03 Asturias, Principado de;Europa menos UE28;2019;211
03 Asturias, Principado de;Europa menos UE28;2018;174
03 Asturias, Principado de;Europa menos UE28;2017;172
03 Asturias, Principado de;Europa menos UE28;2016;121
03 Asturias, Principado de;Europa menos UE28;2015;133
03 Asturias, Principado de;Europa menos UE28;2014;114
03 Asturias, Principado de;Europa menos UE28;2013;116
03 Asturias, Principado de;África;2021;390
03 Asturias, Principado de;África;2020;341
03 Asturias, Principado de;África;2019;657
03 Asturias, Principado de;África;2018;601
03 Asturias, Principado de;África;2017;458
03 Asturias, Principado de;África;2016;381
03 Asturias, Principado de;África;2015;361
03 Asturias, Principado de;África;2014;324
03 Asturias, Principado de;África;2013;316
03 Asturias, Principado de;América del Norte;2021;307
03 Asturias, Principado de;América del Norte;2020;196
03 Asturias, Principado de;América del Norte;2019;301
03 Asturias, Principado de;América del Norte;2018;252
03 Asturias, Principado de;América del Norte;2017;248
03 Asturias, Principado de;América del Norte;2016;197
03 Asturias, Principado de;América del Norte;2015;150
03 Asturias, Principado de;América del Norte;2014;162
03 Asturias, Principado de;América del Norte;2013;164
03 Asturias, Principado de;Centro América y Caribe;2021;741
03 Asturias, Principado de;Centro América y Caribe;2020;607
03 Asturias, Principado de;Centro América y Caribe;2019;1.103
03 Asturias, Principado de;Centro América y Caribe;2018;891
03 Asturias, Principado de;Centro América y Caribe;2017;687
03 Asturias, Principado de;Centro América y Caribe;2016;589
03 Asturias, Principado de;Centro América y Caribe;2015;502
03 Asturias, Principado de;Centro América y Caribe;2014;482
03 Asturias, Principado de;Centro América y Caribe;2013;504
03 Asturias, Principado de;Sudamérica;2021;1.921
03 Asturias, Principado de;Sudamérica;2020;2.062
03 Asturias, Principado de;Sudamérica;2019;3.724
03 Asturias, Principado de;Sudamérica;2018;2.726
03 Asturias, Principado de;Sudamérica;2017;1.972
03 Asturias, Principado de;Sudamérica;2016;1.678
03 Asturias, Principado de;Sudamérica;2015;988
03 Asturias, Principado de;Sudamérica;2014;798
03 Asturias, Principado de;Sudamérica;2013;723
03 Asturias, Principado de;Asia;2021;230
03 Asturias, Principado de;Asia;2020;149
03 Asturias, Principado de;Asia;2019;272
03 Asturias, Principado de;Asia;2018;253
03 Asturias, Principado de;Asia;2017;236
03 Asturias, Principado de;Asia;2016;260
03 Asturias, Principado de;Asia;2015;195
03 Asturias, Principado de;Asia;2014;183
03 Asturias, Principado de;Asia;2013;228
03 Asturias, Principado de;Oceanía ;2021;14
03 Asturias, Principado de;Oceanía ;2020;2
03 Asturias, Principado de;Oceanía ;2019;15
03 Asturias, Principado de;Oceanía ;2018;16
03 Asturias, Principado de;Oceanía ;2017;19
03 Asturias, Principado de;Oceanía ;2016;9
03 Asturias, Principado de;Oceanía ;2015;22
03 Asturias, Principado de;Oceanía ;2014;5
03 Asturias, Principado de;Oceanía ;2013;14
04 Balears, Illes;Total;2021;17.576
04 Balears, Illes;Total;2020;17.001
04 Balears, Illes;Total;2019;26.096
04 Balears, Illes;Total;2018;23.323
04 Balears, Illes;Total;2017;20.196
04 Balears, Illes;Total;2016;15.130
04 Balears, Illes;Total;2015;12.535
04 Balears, Illes;Total;2014;11.612
04 Balears, Illes;Total;2013;11.659
04 Balears, Illes;España;2021;645
04 Balears, Illes;España;2020;567
04 Balears, Illes;España;2019;685
04 Balears, Illes;España;2018;782
04 Balears, Illes;España;2017;877
04 Balears, Illes;España;2016;780
04 Balears, Illes;España;2015;644
04 Balears, Illes;España;2014;538
04 Balears, Illes;España;2013;568
04 Balears, Illes;UE27_2020 sin España;2021;5.104
04 Balears, Illes;UE27_2020 sin España;2020;4.076
04 Balears, Illes;UE27_2020 sin España;2019;""
04 Balears, Illes;UE27_2020 sin España;2018;""
04 Balears, Illes;UE27_2020 sin España;2017;""
04 Balears, Illes;UE27_2020 sin España;2016;""
04 Balears, Illes;UE27_2020 sin España;2015;""
04 Balears, Illes;UE27_2020 sin España;2014;""
04 Balears, Illes;UE27_2020 sin España;2013;""
04 Balears, Illes;UE28 sin España;2021;""
04 Balears, Illes;UE28 sin España;2020;""
04 Balears, Illes;UE28 sin España;2019;7.154
04 Balears, Illes;UE28 sin España;2018;7.514
04 Balears, Illes;UE28 sin España;2017;7.627
04 Balears, Illes;UE28 sin España;2016;5.640
04 Balears, Illes;UE28 sin España;2015;5.372
04 Balears, Illes;UE28 sin España;2014;5.420
04 Balears, Illes;UE28 sin España;2013;5.820
04 Balears, Illes;Europa menos UE27_2020;2021;2.495
04 Balears, Illes;Europa menos UE27_2020;2020;2.191
04 Balears, Illes;Europa menos UE27_2020;2019;""
04 Balears, Illes;Europa menos UE27_2020;2018;""
04 Balears, Illes;Europa menos UE27_2020;2017;""
04 Balears, Illes;Europa menos UE27_2020;2016;""
04 Balears, Illes;Europa menos UE27_2020;2015;""
04 Balears, Illes;Europa menos UE27_2020;2014;""
04 Balears, Illes;Europa menos UE27_2020;2013;""
04 Balears, Illes;Europa menos UE28;2021;""
04 Balears, Illes;Europa menos UE28;2020;""
04 Balears, Illes;Europa menos UE28;2019;762
04 Balears, Illes;Europa menos UE28;2018;752
04 Balears, Illes;Europa menos UE28;2017;758
04 Balears, Illes;Europa menos UE28;2016;587
04 Balears, Illes;Europa menos UE28;2015;645
04 Balears, Illes;Europa menos UE28;2014;613
04 Balears, Illes;Europa menos UE28;2013;459
04 Balears, Illes;África;2021;2.047
04 Balears, Illes;África;2020;1.793
04 Balears, Illes;África;2019;2.755
04 Balears, Illes;África;2018;2.607
04 Balears, Illes;África;2017;1.908
04 Balears, Illes;África;2016;1.801
04 Balears, Illes;África;2015;1.382
04 Balears, Illes;África;2014;1.090
04 Balears, Illes;África;2013;1.162
04 Balears, Illes;América del Norte;2021;444
