Comunidades y ciudades autónomas;País de nacimiento;Periodo;Total
17 Rioja, La;UE27_2020 sin España;2018;""
17 Rioja, La;UE27_2020 sin España;2017;""
17 Rioja, La;UE27_2020 sin España;2016;""
17 Rioja, La;UE27_2020 sin España;2015;""
17 Rioja, La;UE27_2020 sin España;2014;""
17 Rioja, La;UE27_2020 sin España;2013;""
17 Rioja, La;UE28 sin España;2021;""
17 Rioja, La;UE28 sin España;2020;""
17 Rioja, La;UE28 sin España;2019;620
17 Rioja, La;UE28 sin España;2018;628
17 Rioja, La;UE28 sin España;2017;586
17 Rioja, La;UE28 sin España;2016;535
17 Rioja, La;UE28 sin España;2015;541
17 Rioja, La;UE28 sin España;2014;463
17 Rioja, La;UE28 sin España;2013;313
17 Rioja, La;Europa menos UE27_2020;2021;137
17 Rioja, La;Europa menos UE27_2020;2020;113
17 Rioja, La;Europa menos UE27_2020;2019;""
17 Rioja, La;Europa menos UE27_2020;2018;""
17 Rioja, La;Europa menos UE27_2020;2017;""
17 Rioja, La;Europa menos UE27_2020;2016;""
17 Rioja, La;Europa menos UE27_2020;2015;""
17 Rioja, La;Europa menos UE27_2020;2014;""
17 Rioja, La;Europa menos UE27_2020;2013;""
17 Rioja, La;Europa menos UE28;2021;""
17 Rioja, La;Europa menos UE28;2020;""
17 Rioja, La;Europa menos UE28;2019;225
17 Rioja, La;Europa menos UE28;2018;273
17 Rioja, La;Europa menos UE28;2017;205
17 Rioja, La;Europa menos UE28;2016;177
17 Rioja, La;Europa menos UE28;2015;160
17 Rioja, La;Europa menos UE28;2014;109
17 Rioja, La;Europa menos UE28;2013;82
17 Rioja, La;África;2021;809
17 Rioja, La;África;2020;548
17 Rioja, La;África;2019;805
17 Rioja, La;África;2018;659
17 Rioja, La;África;2017;429
17 Rioja, La;África;2016;391
17 Rioja, La;África;2015;297
17 Rioja, La;África;2014;256
17 Rioja, La;África;2013;254
17 Rioja, La;América del Norte;2021;94
17 Rioja, La;América del Norte;2020;50
17 Rioja, La;América del Norte;2019;80
17 Rioja, La;América del Norte;2018;80
17 Rioja, La;América del Norte;2017;47
17 Rioja, La;América del Norte;2016;52
17 Rioja, La;América del Norte;2015;32
17 Rioja, La;América del Norte;2014;31
17 Rioja, La;América del Norte;2013;23
17 Rioja, La;Centro América y Caribe;2021;128
17 Rioja, La;Centro América y Caribe;2020;183
17 Rioja, La;Centro América y Caribe;2019;333
17 Rioja, La;Centro América y Caribe;2018;216
17 Rioja, La;Centro América y Caribe;2017;126
17 Rioja, La;Centro América y Caribe;2016;105
17 Rioja, La;Centro América y Caribe;2015;74
17 Rioja, La;Centro América y Caribe;2014;85
17 Rioja, La;Centro América y Caribe;2013;63
17 Rioja, La;Sudamérica;2021;788
17 Rioja, La;Sudamérica;2020;1.053
17 Rioja, La;Sudamérica;2019;1.418
17 Rioja, La;Sudamérica;2018;1.064
17 Rioja, La;Sudamérica;2017;633
17 Rioja, La;Sudamérica;2016;444
17 Rioja, La;Sudamérica;2015;323
17 Rioja, La;Sudamérica;2014;234
17 Rioja, La;Sudamérica;2013;220
17 Rioja, La;Asia;2021;299
17 Rioja, La;Asia;2020;142
17 Rioja, La;Asia;2019;187
17 Rioja, La;Asia;2018;139
17 Rioja, La;Asia;2017;150
17 Rioja, La;Asia;2016;169
17 Rioja, La;Asia;2015;118
17 Rioja, La;Asia;2014;95
17 Rioja, La;Asia;2013;199
17 Rioja, La;Oceanía ;2021;1
17 Rioja, La;Oceanía ;2020;8
17 Rioja, La;Oceanía ;2019;2
17 Rioja, La;Oceanía ;2018;3
17 Rioja, La;Oceanía ;2017;2
17 Rioja, La;Oceanía ;2016;4
17 Rioja, La;Oceanía ;2015;7
17 Rioja, La;Oceanía ;2014;4
17 Rioja, La;Oceanía ;2013;""
18 Ceuta;Total;2021;771
18 Ceuta;Total;2020;546
18 Ceuta;Total;2019;466
18 Ceuta;Total;2018;475
18 Ceuta;Total;2017;529
18 Ceuta;Total;2016;517
18 Ceuta;Total;2015;480
18 Ceuta;Total;2014;458
18 Ceuta;Total;2013;505
18 Ceuta;España;2021;167
18 Ceuta;España;2020;106
18 Ceuta;España;2019;64
18 Ceuta;España;2018;51
18 Ceuta;España;2017;110
18 Ceuta;España;2016;119
18 Ceuta;España;2015;112
18 Ceuta;España;2014;96
18 Ceuta;España;2013;131
18 Ceuta;UE27_2020 sin España;2021;10
18 Ceuta;UE27_2020 sin España;2020;17
18 Ceuta;UE27_2020 sin España;2019;""
18 Ceuta;UE27_2020 sin España;2018;""
18 Ceuta;UE27_2020 sin España;2017;""
18 Ceuta;UE27_2020 sin España;2016;""
18 Ceuta;UE27_2020 sin España;2015;""
18 Ceuta;UE27_2020 sin España;2014;""
18 Ceuta;UE27_2020 sin España;2013;""
18 Ceuta;UE28 sin España;2021;""
18 Ceuta;UE28 sin España;2020;""
18 Ceuta;UE28 sin España;2019;29
18 Ceuta;UE28 sin España;2018;26
18 Ceuta;UE28 sin España;2017;25
18 Ceuta;UE28 sin España;2016;27
18 Ceuta;UE28 sin España;2015;31
18 Ceuta;UE28 sin España;2014;24
18 Ceuta;UE28 sin España;2013;36
18 Ceuta;Europa menos UE27_2020;2021;8
18 Ceuta;Europa menos UE27_2020;2020;11
18 Ceuta;Europa menos UE27_2020;2019;""
18 Ceuta;Europa menos UE27_2020;2018;""
18 Ceuta;Europa menos UE27_2020;2017;""
18 Ceuta;Europa menos UE27_2020;2016;""
18 Ceuta;Europa menos UE27_2020;2015;""
18 Ceuta;Europa menos UE27_2020;2014;""
18 Ceuta;Europa menos UE27_2020;2013;""
18 Ceuta;Europa menos UE28;2021;""
18 Ceuta;Europa menos UE28;2020;""
18 Ceuta;Europa menos UE28;2019;2
18 Ceuta;Europa menos UE28;2018;2
18 Ceuta;Europa menos UE28;2017;5
18 Ceuta;Europa menos UE28;2016;1
18 Ceuta;Europa menos UE28;2015;1
18 Ceuta;Europa menos UE28;2014;1
18 Ceuta;Europa menos UE28;2013;1
18 Ceuta;África;2021;554
18 Ceuta;África;2020;375
18 Ceuta;África;2019;330
18 Ceuta;África;2018;346
18 Ceuta;África;2017;358
18 Ceuta;África;2016;329
18 Ceuta;África;2015;302
18 Ceuta;África;2014;267
18 Ceuta;África;2013;281
18 Ceuta;América del Norte;2021;1
18 Ceuta;América del Norte;2020;1
18 Ceuta;América del Norte;2019;3
18 Ceuta;América del Norte;2018;2
18 Ceuta;América del Norte;2017;2
18 Ceuta;América del Norte;2016;5
18 Ceuta;América del Norte;2015;2
18 Ceuta;América del Norte;2014;1
18 Ceuta;América del Norte;2013;1
18 Ceuta;Centro América y Caribe;2021;7
18 Ceuta;Centro América y Caribe;2020;5
18 Ceuta;Centro América y Caribe;2019;6
18 Ceuta;Centro América y Caribe;2018;7
18 Ceuta;Centro América y Caribe;2017;4
18 Ceuta;Centro América y Caribe;2016;4
18 Ceuta;Centro América y Caribe;2015;5
18 Ceuta;Centro América y Caribe;2014;10
18 Ceuta;Centro América y Caribe;2013;4
18 Ceuta;Sudamérica;2021;14
18 Ceuta;Sudamérica;2020;14
18 Ceuta;Sudamérica;2019;17
18 Ceuta;Sudamérica;2018;20
18 Ceuta;Sudamérica;2017;10
18 Ceuta;Sudamérica;2016;23
18 Ceuta;Sudamérica;2015;17
18 Ceuta;Sudamérica;2014;24
18 Ceuta;Sudamérica;2013;37
18 Ceuta;Asia;2021;8
18 Ceuta;Asia;2020;17
18 Ceuta;Asia;2019;14
18 Ceuta;Asia;2018;18
18 Ceuta;Asia;2017;15
18 Ceuta;Asia;2016;10
18 Ceuta;Asia;2015;10
18 Ceuta;Asia;2014;35
18 Ceuta;Asia;2013;13
18 Ceuta;Oceanía ;2021;2
18 Ceuta;Oceanía ;2020;0
18 Ceuta;Oceanía ;2019;1
18 Ceuta;Oceanía ;2018;3
18 Ceuta;Oceanía ;2017;0
18 Ceuta;Oceanía ;2016;""
18 Ceuta;Oceanía ;2015;""
18 Ceuta;Oceanía ;2014;0
18 Ceuta;Oceanía ;2013;1
19 Melilla;Total;2021;1.178
19 Melilla;Total;2020;787
19 Melilla;Total;2019;1.247
19 Melilla;Total;2018;981
19 Melilla;Total;2017;854
19 Melilla;Total;2016;811
19 Melilla;Total;2015;986
19 Melilla;Total;2014;876
19 Melilla;Total;2013;884
19 Melilla;España;2021;108
19 Melilla;España;2020;78
19 Melilla;España;2019;112
19 Melilla;España;2018;63
19 Melilla;España;2017;167
19 Melilla;España;2016;174
19 Melilla;España;2015;195
19 Melilla;España;2014;194
19 Melilla;España;2013;212
19 Melilla;UE27_2020 sin España;2021;47
19 Melilla;UE27_2020 sin España;2020;38
19 Melilla;UE27_2020 sin España;2019;""
19 Melilla;UE27_2020 sin España;2018;""
19 Melilla;UE27_2020 sin España;2017;""
19 Melilla;UE27_2020 sin España;2016;""
19 Melilla;UE27_2020 sin España;2015;""
19 Melilla;UE27_2020 sin España;2014;""
19 Melilla;UE27_2020 sin España;2013;""
19 Melilla;UE28 sin España;2021;""
19 Melilla;UE28 sin España;2020;""
19 Melilla;UE28 sin España;2019;72
19 Melilla;UE28 sin España;2018;62
19 Melilla;UE28 sin España;2017;55
19 Melilla;UE28 sin España;2016;49
19 Melilla;UE28 sin España;2015;56
19 Melilla;UE28 sin España;2014;63
19 Melilla;UE28 sin España;2013;75
19 Melilla;Europa menos UE27_2020;2021;17
19 Melilla;Europa menos UE27_2020;2020;14
19 Melilla;Europa menos UE27_2020;2019;""
19 Melilla;Europa menos UE27_2020;2018;""
19 Melilla;Europa menos UE27_2020;2017;""
19 Melilla;Europa menos UE27_2020;2016;""
19 Melilla;Europa menos UE27_2020;2015;""
19 Melilla;Europa menos UE27_2020;2014;""
19 Melilla;Europa menos UE27_2020;2013;""
19 Melilla;Europa menos UE28;2021;""
19 Melilla;Europa menos UE28;2020;""
19 Melilla;Europa menos UE28;2019;5
19 Melilla;Europa menos UE28;2018;9
19 Melilla;Europa menos UE28;2017;9
19 Melilla;Europa menos UE28;2016;8
19 Melilla;Europa menos UE28;2015;3
19 Melilla;Europa menos UE28;2014;4
19 Melilla;Europa menos UE28;2013;3
19 Melilla;África;2021;926
19 Melilla;África;2020;596
19 Melilla;África;2019;904
19 Melilla;África;2018;641
19 Melilla;África;2017;566
19 Melilla;África;2016;493
19 Melilla;África;2015;645
19 Melilla;África;2014;551
19 Melilla;África;2013;525
19 Melilla;América del Norte;2021;8
19 Melilla;América del Norte;2020;3
19 Melilla;América del Norte;2019;10
19 Melilla;América del Norte;2018;16
19 Melilla;América del Norte;2017;6
19 Melilla;América del Norte;2016;7
19 Melilla;América del Norte;2015;1
19 Melilla;América del Norte;2014;6
19 Melilla;América del Norte;2013;9
19 Melilla;Centro América y Caribe;2021;19
19 Melilla;Centro América y Caribe;2020;3
19 Melilla;Centro América y Caribe;2019;4
19 Melilla;Centro América y Caribe;2018;6
19 Melilla;Centro América y Caribe;2017;8
19 Melilla;Centro América y Caribe;2016;7
19 Melilla;Centro América y Caribe;2015;9
19 Melilla;Centro América y Caribe;2014;8
19 Melilla;Centro América y Caribe;2013;6
19 Melilla;Sudamérica;2021;23
19 Melilla;Sudamérica;2020;25
19 Melilla;Sudamérica;2019;35
19 Melilla;Sudamérica;2018;21
19 Melilla;Sudamérica;2017;16
19 Melilla;Sudamérica;2016;15
19 Melilla;Sudamérica;2015;16
19 Melilla;Sudamérica;2014;22
19 Melilla;Sudamérica;2013;43
19 Melilla;Asia;2021;29
19 Melilla;Asia;2020;30
19 Melilla;Asia;2019;105
19 Melilla;Asia;2018;163
19 Melilla;Asia;2017;27
19 Melilla;Asia;2016;59
19 Melilla;Asia;2015;61
19 Melilla;Asia;2014;29
19 Melilla;Asia;2013;10
19 Melilla;Oceanía ;2021;1
19 Melilla;Oceanía ;2020;0
19 Melilla;Oceanía ;2019;0
19 Melilla;Oceanía ;2018;0
19 Melilla;Oceanía ;2017;0
19 Melilla;Oceanía ;2016;""
19 Melilla;Oceanía ;2015;""
19 Melilla;Oceanía ;2014;""
19 Melilla;Oceanía ;2013;0
