Lugar de condena;Nacionalidad;Periodo;Total
03 Asturias, Principado de;Total;2019;8.824
03 Asturias, Principado de;Total;2018;9.032
03 Asturias, Principado de;Total;2017;9.166
03 Asturias, Principado de;Total;2016;8.656
03 Asturias, Principado de;Total;2015;6.185
03 Asturias, Principado de;Total;2014;6.196
03 Asturias, Principado de;Total;2013;6.076
03 Asturias, Principado de;Española;2021;7.639
03 Asturias, Principado de;Española;2020;5.953
03 Asturias, Principado de;Española;2019;7.979
03 Asturias, Principado de;Española;2018;8.268
03 Asturias, Principado de;Española;2017;8.291
03 Asturias, Principado de;Española;2016;7.823
03 Asturias, Principado de;Española;2015;5.613
03 Asturias, Principado de;Española;2014;5.594
03 Asturias, Principado de;Española;2013;5.450
03 Asturias, Principado de;País de la UE28 sin España;2021;""
03 Asturias, Principado de;País de la UE28 sin España;2020;""
03 Asturias, Principado de;País de la UE28 sin España;2019;364
03 Asturias, Principado de;País de la UE28 sin España;2018;319
03 Asturias, Principado de;País de la UE28 sin España;2017;375
03 Asturias, Principado de;País de la UE28 sin España;2016;333
03 Asturias, Principado de;País de la UE28 sin España;2015;233
03 Asturias, Principado de;País de la UE28 sin España;2014;236
03 Asturias, Principado de;País de la UE28 sin España;2013;222
03 Asturias, Principado de;País de la UE27_2020 sin España;2021;344
03 Asturias, Principado de;País de la UE27_2020 sin España;2020;223
03 Asturias, Principado de;País de la UE27_2020 sin España;2019;""
03 Asturias, Principado de;País de la UE27_2020 sin España;2018;""
03 Asturias, Principado de;País de la UE27_2020 sin España;2017;""
03 Asturias, Principado de;País de la UE27_2020 sin España;2016;""
03 Asturias, Principado de;País de la UE27_2020 sin España;2015;""
03 Asturias, Principado de;País de la UE27_2020 sin España;2014;""
03 Asturias, Principado de;País de la UE27_2020 sin España;2013;""
03 Asturias, Principado de;País de Europa menos UE28;2021;""
03 Asturias, Principado de;País de Europa menos UE28;2020;""
03 Asturias, Principado de;País de Europa menos UE28;2019;22
03 Asturias, Principado de;País de Europa menos UE28;2018;39
03 Asturias, Principado de;País de Europa menos UE28;2017;24
03 Asturias, Principado de;País de Europa menos UE28;2016;29
03 Asturias, Principado de;País de Europa menos UE28;2015;14
03 Asturias, Principado de;País de Europa menos UE28;2014;13
03 Asturias, Principado de;País de Europa menos UE28;2013;19
03 Asturias, Principado de;País de Europa menos UE27_2020;2021;35
03 Asturias, Principado de;País de Europa menos UE27_2020;2020;39
03 Asturias, Principado de;País de Europa menos UE27_2020;2019;""
03 Asturias, Principado de;País de Europa menos UE27_2020;2018;""
03 Asturias, Principado de;País de Europa menos UE27_2020;2017;""
03 Asturias, Principado de;País de Europa menos UE27_2020;2016;""
03 Asturias, Principado de;País de Europa menos UE27_2020;2015;""
03 Asturias, Principado de;País de Europa menos UE27_2020;2014;""
03 Asturias, Principado de;País de Europa menos UE27_2020;2013;""
03 Asturias, Principado de;De Africa;2021;167
03 Asturias, Principado de;De Africa;2020;99
03 Asturias, Principado de;De Africa;2019;163
03 Asturias, Principado de;De Africa;2018;143
03 Asturias, Principado de;De Africa;2017;204
03 Asturias, Principado de;De Africa;2016;150
03 Asturias, Principado de;De Africa;2015;97
03 Asturias, Principado de;De Africa;2014;94
03 Asturias, Principado de;De Africa;2013;120
03 Asturias, Principado de;De América;2021;367
03 Asturias, Principado de;De América;2020;244
03 Asturias, Principado de;De América;2019;288
03 Asturias, Principado de;De América;2018;248
03 Asturias, Principado de;De América;2017;266
03 Asturias, Principado de;De América;2016;313
03 Asturias, Principado de;De América;2015;218
03 Asturias, Principado de;De América;2014;252
03 Asturias, Principado de;De América;2013;248
03 Asturias, Principado de;De Asia;2021;27
03 Asturias, Principado de;De Asia;2020;12
03 Asturias, Principado de;De Asia;2019;8
03 Asturias, Principado de;De Asia;2018;15
03 Asturias, Principado de;De Asia;2017;6
03 Asturias, Principado de;De Asia;2016;8
03 Asturias, Principado de;De Asia;2015;10
03 Asturias, Principado de;De Asia;2014;7
03 Asturias, Principado de;De Asia;2013;15
03 Asturias, Principado de;De Oceanía;2021;0
03 Asturias, Principado de;De Oceanía;2020;0
03 Asturias, Principado de;De Oceanía;2019;0
03 Asturias, Principado de;De Oceanía;2018;0
03 Asturias, Principado de;De Oceanía;2017;0
03 Asturias, Principado de;De Oceanía;2016;0
03 Asturias, Principado de;De Oceanía;2015;0
03 Asturias, Principado de;De Oceanía;2014;0
03 Asturias, Principado de;De Oceanía;2013;2
04 Balears, Illes;Total;2021;12.818
04 Balears, Illes;Total;2020;8.875
04 Balears, Illes;Total;2019;11.735
04 Balears, Illes;Total;2018;11.285
04 Balears, Illes;Total;2017;11.216
04 Balears, Illes;Total;2016;10.237
04 Balears, Illes;Total;2015;8.887
04 Balears, Illes;Total;2014;9.176
04 Balears, Illes;Total;2013;8.918
04 Balears, Illes;Española;2021;8.676
04 Balears, Illes;Española;2020;6.028
04 Balears, Illes;Española;2019;7.802
04 Balears, Illes;Española;2018;7.575
04 Balears, Illes;Española;2017;7.831
04 Balears, Illes;Española;2016;7.110
04 Balears, Illes;Española;2015;6.190
04 Balears, Illes;Española;2014;6.292
04 Balears, Illes;Española;2013;6.046
04 Balears, Illes;País de la UE28 sin España;2021;""
04 Balears, Illes;País de la UE28 sin España;2020;""
04 Balears, Illes;País de la UE28 sin España;2019;1.498
04 Balears, Illes;País de la UE28 sin España;2018;1.509
04 Balears, Illes;País de la UE28 sin España;2017;1.376
04 Balears, Illes;País de la UE28 sin España;2016;1.287
04 Balears, Illes;País de la UE28 sin España;2015;1.141
04 Balears, Illes;País de la UE28 sin España;2014;1.140
04 Balears, Illes;País de la UE28 sin España;2013;1.041
04 Balears, Illes;País de la UE27_2020 sin España;2021;1.119
04 Balears, Illes;País de la UE27_2020 sin España;2020;847
04 Balears, Illes;País de la UE27_2020 sin España;2019;""
04 Balears, Illes;País de la UE27_2020 sin España;2018;""
04 Balears, Illes;País de la UE27_2020 sin España;2017;""
04 Balears, Illes;País de la UE27_2020 sin España;2016;""
04 Balears, Illes;País de la UE27_2020 sin España;2015;""
04 Balears, Illes;País de la UE27_2020 sin España;2014;""
04 Balears, Illes;País de la UE27_2020 sin España;2013;""
04 Balears, Illes;País de Europa menos UE28;2021;""
04 Balears, Illes;País de Europa menos UE28;2020;""
04 Balears, Illes;País de Europa menos UE28;2019;138
04 Balears, Illes;País de Europa menos UE28;2018;133
04 Balears, Illes;País de Europa menos UE28;2017;122
04 Balears, Illes;País de Europa menos UE28;2016;91
04 Balears, Illes;País de Europa menos UE28;2015;55
04 Balears, Illes;País de Europa menos UE28;2014;78
04 Balears, Illes;País de Europa menos UE28;2013;72
04 Balears, Illes;País de Europa menos UE27_2020;2021;407
04 Balears, Illes;País de Europa menos UE27_2020;2020;225
04 Balears, Illes;País de Europa menos UE27_2020;2019;""
04 Balears, Illes;País de Europa menos UE27_2020;2018;""
04 Balears, Illes;País de Europa menos UE27_2020;2017;""
04 Balears, Illes;País de Europa menos UE27_2020;2016;""
04 Balears, Illes;País de Europa menos UE27_2020;2015;""
04 Balears, Illes;País de Europa menos UE27_2020;2014;""
04 Balears, Illes;País de Europa menos UE27_2020;2013;""
04 Balears, Illes;De Africa;2021;1.006
04 Balears, Illes;De Africa;2020;639
04 Balears, Illes;De Africa;2019;833
04 Balears, Illes;De Africa;2018;766
04 Balears, Illes;De Africa;2017;766
04 Balears, Illes;De Africa;2016;666
04 Balears, Illes;De Africa;2015;601
04 Balears, Illes;De Africa;2014;632
04 Balears, Illes;De Africa;2013;558
04 Balears, Illes;De América;2021;1.501
04 Balears, Illes;De América;2020;1.054
04 Balears, Illes;De América;2019;1.303
04 Balears, Illes;De América;2018;1.167
04 Balears, Illes;De América;2017;1.025
04 Balears, Illes;De América;2016;993
04 Balears, Illes;De América;2015;845
04 Balears, Illes;De América;2014;970
04 Balears, Illes;De América;2013;1.140
04 Balears, Illes;De Asia;2021;107
04 Balears, Illes;De Asia;2020;80
04 Balears, Illes;De Asia;2019;157
04 Balears, Illes;De Asia;2018;131
04 Balears, Illes;De Asia;2017;92
04 Balears, Illes;De Asia;2016;86
04 Balears, Illes;De Asia;2015;49
04 Balears, Illes;De Asia;2014;61
04 Balears, Illes;De Asia;2013;57
04 Balears, Illes;De Oceanía;2021;2
04 Balears, Illes;De Oceanía;2020;2
04 Balears, Illes;De Oceanía;2019;4
04 Balears, Illes;De Oceanía;2018;4
04 Balears, Illes;De Oceanía;2017;4
04 Balears, Illes;De Oceanía;2016;4
04 Balears, Illes;De Oceanía;2015;6
04 Balears, Illes;De Oceanía;2014;3
04 Balears, Illes;De Oceanía;2013;4
05 Canarias;Total;2021;22.510
05 Canarias;Total;2020;16.689
05 Canarias;Total;2019;21.082
05 Canarias;Total;2018;20.943
05 Canarias;Total;2017;20.833
05 Canarias;Total;2016;19.977
05 Canarias;Total;2015;16.313
05 Canarias;Total;2014;15.699
05 Canarias;Total;2013;14.326
05 Canarias;Española;2021;18.373
05 Canarias;Española;2020;13.794
05 Canarias;Española;2019;17.212
05 Canarias;Española;2018;17.365
05 Canarias;Española;2017;17.402
05 Canarias;Española;2016;16.923
05 Canarias;Española;2015;13.796
05 Canarias;Española;2014;13.219
05 Canarias;Española;2013;11.889
05 Canarias;País de la UE28 sin España;2021;""
05 Canarias;País de la UE28 sin España;2020;""
05 Canarias;País de la UE28 sin España;2019;1.598
05 Canarias;País de la UE28 sin España;2018;1.543
05 Canarias;País de la UE28 sin España;2017;1.487
05 Canarias;País de la UE28 sin España;2016;1.276
05 Canarias;País de la UE28 sin España;2015;1.017
05 Canarias;País de la UE28 sin España;2014;864
05 Canarias;País de la UE28 sin España;2013;791
05 Canarias;País de la UE27_2020 sin España;2021;1.084
05 Canarias;País de la UE27_2020 sin España;2020;805
05 Canarias;País de la UE27_2020 sin España;2019;""
05 Canarias;País de la UE27_2020 sin España;2018;""
05 Canarias;País de la UE27_2020 sin España;2017;""
05 Canarias;País de la UE27_2020 sin España;2016;""
05 Canarias;País de la UE27_2020 sin España;2015;""
05 Canarias;País de la UE27_2020 sin España;2014;""
05 Canarias;País de la UE27_2020 sin España;2013;""
05 Canarias;País de Europa menos UE28;2021;""
05 Canarias;País de Europa menos UE28;2020;""
05 Canarias;País de Europa menos UE28;2019;276
05 Canarias;País de Europa menos UE28;2018;160
05 Canarias;País de Europa menos UE28;2017;134
05 Canarias;País de Europa menos UE28;2016;124
05 Canarias;País de Europa menos UE28;2015;83
05 Canarias;País de Europa menos UE28;2014;83
05 Canarias;País de Europa menos UE28;2013;87
05 Canarias;País de Europa menos UE27_2020;2021;482
05 Canarias;País de Europa menos UE27_2020;2020;366
05 Canarias;País de Europa menos UE27_2020;2019;""
05 Canarias;País de Europa menos UE27_2020;2018;""
05 Canarias;País de Europa menos UE27_2020;2017;""
05 Canarias;País de Europa menos UE27_2020;2016;""
05 Canarias;País de Europa menos UE27_2020;2015;""
05 Canarias;País de Europa menos UE27_2020;2014;""
05 Canarias;País de Europa menos UE27_2020;2013;""
05 Canarias;De Africa;2021;1.185
05 Canarias;De Africa;2020;727
