Lugar de condena;Edad;Sexo;Periodo;Total
02 Aragón;17 años;Total;2016;63
02 Aragón;17 años;Total;2015;82
02 Aragón;17 años;Total;2014;95
02 Aragón;17 años;Total;2013;75
02 Aragón;17 años;Hombres;2021;119
02 Aragón;17 años;Hombres;2020;103
02 Aragón;17 años;Hombres;2019;96
02 Aragón;17 años;Hombres;2018;80
02 Aragón;17 años;Hombres;2017;91
02 Aragón;17 años;Hombres;2016;51
02 Aragón;17 años;Hombres;2015;63
02 Aragón;17 años;Hombres;2014;78
02 Aragón;17 años;Hombres;2013;65
02 Aragón;17 años;Mujeres;2021;15
02 Aragón;17 años;Mujeres;2020;6
02 Aragón;17 años;Mujeres;2019;12
02 Aragón;17 años;Mujeres;2018;22
02 Aragón;17 años;Mujeres;2017;10
02 Aragón;17 años;Mujeres;2016;12
02 Aragón;17 años;Mujeres;2015;19
02 Aragón;17 años;Mujeres;2014;17
02 Aragón;17 años;Mujeres;2013;10
03 Asturias, Principado de;Total;Total;2021;263
03 Asturias, Principado de;Total;Total;2020;186
03 Asturias, Principado de;Total;Total;2019;312
03 Asturias, Principado de;Total;Total;2018;307
03 Asturias, Principado de;Total;Total;2017;272
03 Asturias, Principado de;Total;Total;2016;275
03 Asturias, Principado de;Total;Total;2015;283
03 Asturias, Principado de;Total;Total;2014;280
03 Asturias, Principado de;Total;Total;2013;270
03 Asturias, Principado de;Total;Hombres;2021;205
03 Asturias, Principado de;Total;Hombres;2020;144
03 Asturias, Principado de;Total;Hombres;2019;232
03 Asturias, Principado de;Total;Hombres;2018;237
03 Asturias, Principado de;Total;Hombres;2017;211
03 Asturias, Principado de;Total;Hombres;2016;223
03 Asturias, Principado de;Total;Hombres;2015;231
03 Asturias, Principado de;Total;Hombres;2014;210
03 Asturias, Principado de;Total;Hombres;2013;222
03 Asturias, Principado de;Total;Mujeres;2021;58
03 Asturias, Principado de;Total;Mujeres;2020;42
03 Asturias, Principado de;Total;Mujeres;2019;80
03 Asturias, Principado de;Total;Mujeres;2018;70
03 Asturias, Principado de;Total;Mujeres;2017;61
03 Asturias, Principado de;Total;Mujeres;2016;52
03 Asturias, Principado de;Total;Mujeres;2015;52
03 Asturias, Principado de;Total;Mujeres;2014;70
03 Asturias, Principado de;Total;Mujeres;2013;48
03 Asturias, Principado de;14 años;Total;2021;46
03 Asturias, Principado de;14 años;Total;2020;29
03 Asturias, Principado de;14 años;Total;2019;45
03 Asturias, Principado de;14 años;Total;2018;46
03 Asturias, Principado de;14 años;Total;2017;49
03 Asturias, Principado de;14 años;Total;2016;38
03 Asturias, Principado de;14 años;Total;2015;51
03 Asturias, Principado de;14 años;Total;2014;45
03 Asturias, Principado de;14 años;Total;2013;45
03 Asturias, Principado de;14 años;Hombres;2021;33
03 Asturias, Principado de;14 años;Hombres;2020;14
03 Asturias, Principado de;14 años;Hombres;2019;26
03 Asturias, Principado de;14 años;Hombres;2018;32
03 Asturias, Principado de;14 años;Hombres;2017;36
03 Asturias, Principado de;14 años;Hombres;2016;30
03 Asturias, Principado de;14 años;Hombres;2015;42
03 Asturias, Principado de;14 años;Hombres;2014;35
03 Asturias, Principado de;14 años;Hombres;2013;35
03 Asturias, Principado de;14 años;Mujeres;2021;13
03 Asturias, Principado de;14 años;Mujeres;2020;15
03 Asturias, Principado de;14 años;Mujeres;2019;19
03 Asturias, Principado de;14 años;Mujeres;2018;14
03 Asturias, Principado de;14 años;Mujeres;2017;13
03 Asturias, Principado de;14 años;Mujeres;2016;8
03 Asturias, Principado de;14 años;Mujeres;2015;9
03 Asturias, Principado de;14 años;Mujeres;2014;10
03 Asturias, Principado de;14 años;Mujeres;2013;10
03 Asturias, Principado de;15 años;Total;2021;55
03 Asturias, Principado de;15 años;Total;2020;43
03 Asturias, Principado de;15 años;Total;2019;82
03 Asturias, Principado de;15 años;Total;2018;81
03 Asturias, Principado de;15 años;Total;2017;55
03 Asturias, Principado de;15 años;Total;2016;77
03 Asturias, Principado de;15 años;Total;2015;53
03 Asturias, Principado de;15 años;Total;2014;64
03 Asturias, Principado de;15 años;Total;2013;54
03 Asturias, Principado de;15 años;Hombres;2021;40
03 Asturias, Principado de;15 años;Hombres;2020;33
03 Asturias, Principado de;15 años;Hombres;2019;54
03 Asturias, Principado de;15 años;Hombres;2018;63
03 Asturias, Principado de;15 años;Hombres;2017;45
03 Asturias, Principado de;15 años;Hombres;2016;61
03 Asturias, Principado de;15 años;Hombres;2015;41
03 Asturias, Principado de;15 años;Hombres;2014;42
03 Asturias, Principado de;15 años;Hombres;2013;41
03 Asturias, Principado de;15 años;Mujeres;2021;15
03 Asturias, Principado de;15 años;Mujeres;2020;10
03 Asturias, Principado de;15 años;Mujeres;2019;28
03 Asturias, Principado de;15 años;Mujeres;2018;18
03 Asturias, Principado de;15 años;Mujeres;2017;10
03 Asturias, Principado de;15 años;Mujeres;2016;16
03 Asturias, Principado de;15 años;Mujeres;2015;12
03 Asturias, Principado de;15 años;Mujeres;2014;22
03 Asturias, Principado de;15 años;Mujeres;2013;13
03 Asturias, Principado de;16 años;Total;2021;78
03 Asturias, Principado de;16 años;Total;2020;60
03 Asturias, Principado de;16 años;Total;2019;85
03 Asturias, Principado de;16 años;Total;2018;85
03 Asturias, Principado de;16 años;Total;2017;81
03 Asturias, Principado de;16 años;Total;2016;81
03 Asturias, Principado de;16 años;Total;2015;91
03 Asturias, Principado de;16 años;Total;2014;77
03 Asturias, Principado de;16 años;Total;2013;80
03 Asturias, Principado de;16 años;Hombres;2021;58
