Lugar de condena;Sexo;Nacionalidad;Periodo;Total
05 Canarias;Mujeres;Española;2017;181
05 Canarias;Mujeres;Española;2016;196
05 Canarias;Mujeres;Española;2015;208
05 Canarias;Mujeres;Española;2014;125
05 Canarias;Mujeres;Española;2013;114
05 Canarias;Mujeres;Extranjera;2021;8
05 Canarias;Mujeres;Extranjera;2020;14
05 Canarias;Mujeres;Extranjera;2019;22
05 Canarias;Mujeres;Extranjera;2018;14
05 Canarias;Mujeres;Extranjera;2017;13
05 Canarias;Mujeres;Extranjera;2016;15
05 Canarias;Mujeres;Extranjera;2015;15
05 Canarias;Mujeres;Extranjera;2014;8
05 Canarias;Mujeres;Extranjera;2013;17
06 Cantabria;Total;Total;2021;180
06 Cantabria;Total;Total;2020;147
06 Cantabria;Total;Total;2019;280
06 Cantabria;Total;Total;2018;198
06 Cantabria;Total;Total;2017;180
06 Cantabria;Total;Total;2016;155
06 Cantabria;Total;Total;2015;200
06 Cantabria;Total;Total;2014;218
06 Cantabria;Total;Total;2013;233
06 Cantabria;Total;Española;2021;161
06 Cantabria;Total;Española;2020;131
06 Cantabria;Total;Española;2019;242
06 Cantabria;Total;Española;2018;179
06 Cantabria;Total;Española;2017;159
06 Cantabria;Total;Española;2016;142
06 Cantabria;Total;Española;2015;176
06 Cantabria;Total;Española;2014;168
06 Cantabria;Total;Española;2013;185
06 Cantabria;Total;Extranjera;2021;19
06 Cantabria;Total;Extranjera;2020;16
06 Cantabria;Total;Extranjera;2019;38
06 Cantabria;Total;Extranjera;2018;19
06 Cantabria;Total;Extranjera;2017;21
06 Cantabria;Total;Extranjera;2016;13
06 Cantabria;Total;Extranjera;2015;24
06 Cantabria;Total;Extranjera;2014;50
06 Cantabria;Total;Extranjera;2013;48
06 Cantabria;Hombres;Total;2021;138
06 Cantabria;Hombres;Total;2020;118
06 Cantabria;Hombres;Total;2019;223
06 Cantabria;Hombres;Total;2018;146
06 Cantabria;Hombres;Total;2017;151
06 Cantabria;Hombres;Total;2016;135
06 Cantabria;Hombres;Total;2015;170
06 Cantabria;Hombres;Total;2014;178
06 Cantabria;Hombres;Total;2013;181
06 Cantabria;Hombres;Española;2021;121
06 Cantabria;Hombres;Española;2020;104
06 Cantabria;Hombres;Española;2019;187
06 Cantabria;Hombres;Española;2018;128
06 Cantabria;Hombres;Española;2017;132
06 Cantabria;Hombres;Española;2016;122
06 Cantabria;Hombres;Española;2015;146
06 Cantabria;Hombres;Española;2014;131
06 Cantabria;Hombres;Española;2013;141
06 Cantabria;Hombres;Extranjera;2021;17
06 Cantabria;Hombres;Extranjera;2020;14
06 Cantabria;Hombres;Extranjera;2019;36
06 Cantabria;Hombres;Extranjera;2018;18
06 Cantabria;Hombres;Extranjera;2017;19
06 Cantabria;Hombres;Extranjera;2016;13
06 Cantabria;Hombres;Extranjera;2015;24
06 Cantabria;Hombres;Extranjera;2014;47
06 Cantabria;Hombres;Extranjera;2013;40
06 Cantabria;Mujeres;Total;2021;42
06 Cantabria;Mujeres;Total;2020;29
06 Cantabria;Mujeres;Total;2019;57
06 Cantabria;Mujeres;Total;2018;52
06 Cantabria;Mujeres;Total;2017;29
06 Cantabria;Mujeres;Total;2016;20
06 Cantabria;Mujeres;Total;2015;30
06 Cantabria;Mujeres;Total;2014;40
06 Cantabria;Mujeres;Total;2013;52
06 Cantabria;Mujeres;Española;2021;40
06 Cantabria;Mujeres;Española;2020;27
06 Cantabria;Mujeres;Española;2019;55
06 Cantabria;Mujeres;Española;2018;51
06 Cantabria;Mujeres;Española;2017;27
06 Cantabria;Mujeres;Española;2016;20
06 Cantabria;Mujeres;Española;2015;30
06 Cantabria;Mujeres;Española;2014;37
06 Cantabria;Mujeres;Española;2013;44
06 Cantabria;Mujeres;Extranjera;2021;2
06 Cantabria;Mujeres;Extranjera;2020;2
06 Cantabria;Mujeres;Extranjera;2019;2
06 Cantabria;Mujeres;Extranjera;2018;1
06 Cantabria;Mujeres;Extranjera;2017;2
06 Cantabria;Mujeres;Extranjera;2016;0
06 Cantabria;Mujeres;Extranjera;2015;0
06 Cantabria;Mujeres;Extranjera;2014;3
06 Cantabria;Mujeres;Extranjera;2013;8
07 Castilla y León;Total;Total;2021;753
07 Castilla y León;Total;Total;2020;640
07 Castilla y León;Total;Total;2019;707
07 Castilla y León;Total;Total;2018;758
07 Castilla y León;Total;Total;2017;769
07 Castilla y León;Total;Total;2016;738
07 Castilla y León;Total;Total;2015;879
07 Castilla y León;Total;Total;2014;886
07 Castilla y León;Total;Total;2013;816
07 Castilla y León;Total;Española;2021;652
07 Castilla y León;Total;Española;2020;545
07 Castilla y León;Total;Española;2019;601
07 Castilla y León;Total;Española;2018;651
07 Castilla y León;Total;Española;2017;643
07 Castilla y León;Total;Española;2016;620
07 Castilla y León;Total;Española;2015;734
07 Castilla y León;Total;Española;2014;729
07 Castilla y León;Total;Española;2013;641
07 Castilla y León;Total;Extranjera;2021;101
07 Castilla y León;Total;Extranjera;2020;95
07 Castilla y León;Total;Extranjera;2019;106
07 Castilla y León;Total;Extranjera;2018;107
07 Castilla y León;Total;Extranjera;2017;126
07 Castilla y León;Total;Extranjera;2016;118
