Comunidades y ciudades autónomas;Sexo;Nacionalidad;Periodo;Total
03 Asturias, Principado de;Hombres;Española;2018;4.498
03 Asturias, Principado de;Hombres;Española;2017;4.620
03 Asturias, Principado de;Hombres;Española;2016;4.583
03 Asturias, Principado de;Hombres;Española;2015;3.610
03 Asturias, Principado de;Hombres;Española;2014;3.695
03 Asturias, Principado de;Hombres;Española;2013;3.726
03 Asturias, Principado de;Hombres;Extranjera;2021;493
03 Asturias, Principado de;Hombres;Extranjera;2020;341
03 Asturias, Principado de;Hombres;Extranjera;2019;457
03 Asturias, Principado de;Hombres;Extranjera;2018;432
03 Asturias, Principado de;Hombres;Extranjera;2017;465
03 Asturias, Principado de;Hombres;Extranjera;2016;510
03 Asturias, Principado de;Hombres;Extranjera;2015;372
03 Asturias, Principado de;Hombres;Extranjera;2014;399
03 Asturias, Principado de;Hombres;Extranjera;2013;420
03 Asturias, Principado de;Mujeres;Total;2021;1.202
03 Asturias, Principado de;Mujeres;Total;2020;1.038
03 Asturias, Principado de;Mujeres;Total;2019;1.387
03 Asturias, Principado de;Mujeres;Total;2018;1.379
03 Asturias, Principado de;Mujeres;Total;2017;1.351
03 Asturias, Principado de;Mujeres;Total;2016;1.218
03 Asturias, Principado de;Mujeres;Total;2015;701
03 Asturias, Principado de;Mujeres;Total;2014;619
03 Asturias, Principado de;Mujeres;Total;2013;556
03 Asturias, Principado de;Mujeres;Española;2021;1.044
03 Asturias, Principado de;Mujeres;Española;2020;932
03 Asturias, Principado de;Mujeres;Española;2019;1.232
03 Asturias, Principado de;Mujeres;Española;2018;1.234
03 Asturias, Principado de;Mujeres;Española;2017;1.204
03 Asturias, Principado de;Mujeres;Española;2016;1.087
03 Asturias, Principado de;Mujeres;Española;2015;607
03 Asturias, Principado de;Mujeres;Española;2014;539
03 Asturias, Principado de;Mujeres;Española;2013;488
03 Asturias, Principado de;Mujeres;Extranjera;2021;158
03 Asturias, Principado de;Mujeres;Extranjera;2020;106
03 Asturias, Principado de;Mujeres;Extranjera;2019;155
03 Asturias, Principado de;Mujeres;Extranjera;2018;145
03 Asturias, Principado de;Mujeres;Extranjera;2017;147
03 Asturias, Principado de;Mujeres;Extranjera;2016;131
03 Asturias, Principado de;Mujeres;Extranjera;2015;94
03 Asturias, Principado de;Mujeres;Extranjera;2014;80
03 Asturias, Principado de;Mujeres;Extranjera;2013;68
04 Balears, Illes;Total;Total;2021;8.946
04 Balears, Illes;Total;Total;2020;6.471
04 Balears, Illes;Total;Total;2019;8.336
04 Balears, Illes;Total;Total;2018;8.216
04 Balears, Illes;Total;Total;2017;8.239
04 Balears, Illes;Total;Total;2016;7.701
04 Balears, Illes;Total;Total;2015;6.851
04 Balears, Illes;Total;Total;2014;7.177
04 Balears, Illes;Total;Total;2013;7.094
04 Balears, Illes;Total;Española;2021;5.930
04 Balears, Illes;Total;Española;2020;4.350
04 Balears, Illes;Total;Española;2019;5.409
04 Balears, Illes;Total;Española;2018;5.427
04 Balears, Illes;Total;Española;2017;5.673
04 Balears, Illes;Total;Española;2016;5.280
04 Balears, Illes;Total;Española;2015;4.681
04 Balears, Illes;Total;Española;2014;4.774
04 Balears, Illes;Total;Española;2013;4.719
04 Balears, Illes;Total;Extranjera;2021;3.016
04 Balears, Illes;Total;Extranjera;2020;2.121
04 Balears, Illes;Total;Extranjera;2019;2.927
04 Balears, Illes;Total;Extranjera;2018;2.789
04 Balears, Illes;Total;Extranjera;2017;2.566
04 Balears, Illes;Total;Extranjera;2016;2.421
04 Balears, Illes;Total;Extranjera;2015;2.170
04 Balears, Illes;Total;Extranjera;2014;2.403
04 Balears, Illes;Total;Extranjera;2013;2.375
04 Balears, Illes;Hombres;Total;2021;7.190
04 Balears, Illes;Hombres;Total;2020;5.235
04 Balears, Illes;Hombres;Total;2019;6.761
04 Balears, Illes;Hombres;Total;2018;6.605
04 Balears, Illes;Hombres;Total;2017;6.697
04 Balears, Illes;Hombres;Total;2016;6.446
04 Balears, Illes;Hombres;Total;2015;5.818
04 Balears, Illes;Hombres;Total;2014;6.154
04 Balears, Illes;Hombres;Total;2013;6.173
04 Balears, Illes;Hombres;Española;2021;4.656
04 Balears, Illes;Hombres;Española;2020;3.457
04 Balears, Illes;Hombres;Española;2019;4.303
04 Balears, Illes;Hombres;Española;2018;4.322
04 Balears, Illes;Hombres;Española;2017;4.549
04 Balears, Illes;Hombres;Española;2016;4.378
04 Balears, Illes;Hombres;Española;2015;3.973
04 Balears, Illes;Hombres;Española;2014;4.084
04 Balears, Illes;Hombres;Española;2013;4.082
04 Balears, Illes;Hombres;Extranjera;2021;2.534
04 Balears, Illes;Hombres;Extranjera;2020;1.778
04 Balears, Illes;Hombres;Extranjera;2019;2.458
04 Balears, Illes;Hombres;Extranjera;2018;2.283
04 Balears, Illes;Hombres;Extranjera;2017;2.148
04 Balears, Illes;Hombres;Extranjera;2016;2.068
04 Balears, Illes;Hombres;Extranjera;2015;1.845
04 Balears, Illes;Hombres;Extranjera;2014;2.070
04 Balears, Illes;Hombres;Extranjera;2013;2.091
04 Balears, Illes;Mujeres;Total;2021;1.756
04 Balears, Illes;Mujeres;Total;2020;1.236
04 Balears, Illes;Mujeres;Total;2019;1.575
04 Balears, Illes;Mujeres;Total;2018;1.611
04 Balears, Illes;Mujeres;Total;2017;1.542
04 Balears, Illes;Mujeres;Total;2016;1.255
04 Balears, Illes;Mujeres;Total;2015;1.033
04 Balears, Illes;Mujeres;Total;2014;1.023
04 Balears, Illes;Mujeres;Total;2013;921
04 Balears, Illes;Mujeres;Española;2021;1.274
04 Balears, Illes;Mujeres;Española;2020;893
04 Balears, Illes;Mujeres;Española;2019;1.106
04 Balears, Illes;Mujeres;Española;2018;1.105
04 Balears, Illes;Mujeres;Española;2017;1.124
04 Balears, Illes;Mujeres;Española;2016;902
04 Balears, Illes;Mujeres;Española;2015;708
04 Balears, Illes;Mujeres;Española;2014;690
04 Balears, Illes;Mujeres;Española;2013;637
04 Balears, Illes;Mujeres;Extranjera;2021;482
04 Balears, Illes;Mujeres;Extranjera;2020;343
04 Balears, Illes;Mujeres;Extranjera;2019;469
04 Balears, Illes;Mujeres;Extranjera;2018;506
04 Balears, Illes;Mujeres;Extranjera;2017;418
04 Balears, Illes;Mujeres;Extranjera;2016;353
04 Balears, Illes;Mujeres;Extranjera;2015;325
04 Balears, Illes;Mujeres;Extranjera;2014;333
04 Balears, Illes;Mujeres;Extranjera;2013;284
05 Canarias;Total;Total;2021;16.032
05 Canarias;Total;Total;2020;12.307
05 Canarias;Total;Total;2019;15.481
05 Canarias;Total;Total;2018;15.520
05 Canarias;Total;Total;2017;15.589
05 Canarias;Total;Total;2016;15.139
05 Canarias;Total;Total;2015;12.603
05 Canarias;Total;Total;2014;12.400
05 Canarias;Total;Total;2013;11.756
05 Canarias;Total;Española;2021;12.887
05 Canarias;Total;Española;2020;10.059
05 Canarias;Total;Española;2019;12.498
05 Canarias;Total;Española;2018;12.736
05 Canarias;Total;Española;2017;12.914
05 Canarias;Total;Española;2016;12.696
05 Canarias;Total;Española;2015;10.520
05 Canarias;Total;Española;2014;10.334
05 Canarias;Total;Española;2013;9.660
05 Canarias;Total;Extranjera;2021;3.145
05 Canarias;Total;Extranjera;2020;2.248
05 Canarias;Total;Extranjera;2019;2.983
05 Canarias;Total;Extranjera;2018;2.784
05 Canarias;Total;Extranjera;2017;2.675
05 Canarias;Total;Extranjera;2016;2.443
05 Canarias;Total;Extranjera;2015;2.083
05 Canarias;Total;Extranjera;2014;2.066
05 Canarias;Total;Extranjera;2013;2.096
05 Canarias;Hombres;Total;2021;13.257
05 Canarias;Hombres;Total;2020;10.229
05 Canarias;Hombres;Total;2019;12.632
05 Canarias;Hombres;Total;2018;12.762
05 Canarias;Hombres;Total;2017;12.809
05 Canarias;Hombres;Total;2016;12.545
05 Canarias;Hombres;Total;2015;10.992
05 Canarias;Hombres;Total;2014;11.035
05 Canarias;Hombres;Total;2013;10.535
05 Canarias;Hombres;Española;2021;10.574
05 Canarias;Hombres;Española;2020;8.328
05 Canarias;Hombres;Española;2019;10.125
05 Canarias;Hombres;Española;2018;10.443
05 Canarias;Hombres;Española;2017;10.610
05 Canarias;Hombres;Española;2016;10.496
05 Canarias;Hombres;Española;2015;9.179
05 Canarias;Hombres;Española;2014;9.211
05 Canarias;Hombres;Española;2013;8.700
05 Canarias;Hombres;Extranjera;2021;2.683
05 Canarias;Hombres;Extranjera;2020;1.901
05 Canarias;Hombres;Extranjera;2019;2.507
05 Canarias;Hombres;Extranjera;2018;2.319
05 Canarias;Hombres;Extranjera;2017;2.199
05 Canarias;Hombres;Extranjera;2016;2.049
05 Canarias;Hombres;Extranjera;2015;1.813
05 Canarias;Hombres;Extranjera;2014;1.824
05 Canarias;Hombres;Extranjera;2013;1.835
05 Canarias;Mujeres;Total;2021;2.775
05 Canarias;Mujeres;Total;2020;2.078
05 Canarias;Mujeres;Total;2019;2.849
05 Canarias;Mujeres;Total;2018;2.758
05 Canarias;Mujeres;Total;2017;2.780
05 Canarias;Mujeres;Total;2016;2.594
05 Canarias;Mujeres;Total;2015;1.611
05 Canarias;Mujeres;Total;2014;1.365
05 Canarias;Mujeres;Total;2013;1.221
05 Canarias;Mujeres;Española;2021;2.313
05 Canarias;Mujeres;Española;2020;1.731
05 Canarias;Mujeres;Española;2019;2.373
05 Canarias;Mujeres;Española;2018;2.293
05 Canarias;Mujeres;Española;2017;2.304
05 Canarias;Mujeres;Española;2016;2.200
05 Canarias;Mujeres;Española;2015;1.341
05 Canarias;Mujeres;Española;2014;1.123
05 Canarias;Mujeres;Española;2013;960
05 Canarias;Mujeres;Extranjera;2021;462
